takayan,たかやん
Firefox,ファイヤーフォックス
Ruby,ルビー
Python,パイソン
JavaScript,ジャバスクリプト
Perl,パール
C\+\+,シープラスプラス
Yahoo,ヤフー
iPod,アイポッド
touch,タッチ
m/s,毎秒
([A-Za-z])\.([A-Za-z]),\1ドット\2
([A-Za-z])\.([　 \n]),\1ピリオド\2
四人,よにん
四年,よねん
四円,よえん
([^十百千万億一二三四五六七八九])一日([^中]),\1ついたち\2
([^十百千万億一二三四五六七八九])一人,\1ひとり
^一人,ひとり
一日中,いちにちじゅう
^一日([^中]),ついたち\1
